player,team,stat_type,prizepicks_line,over_odds_ud,under_odds_ud,dk_odds_over,dk_odds_under,max_edge,suggestion,Actual_HRR,Result
pete crowarmstrong,CHC,Hits+Runs+RBIs,1.5,-103,-132,+105,−145,0.015,UNDER,,DNP
kyle tucker,CHC,Hits+Runs+RBIs,1.5,-141,105,−125,−105,0.009,OVER,0.0,MISS
riley greene,DET,Hits+Runs+RBIs,1.5,103,-139,−105,−125,0.007,UNDER,0.0,HIT
salvador perez,KC,Hits+Runs+RBIs,1.5,101,-136,−105,−130,0.007,UNDER,8.0,MISS
adolis garcia,TEX,Hits+Runs+RBIs,1.5,-106,-129,+100,−135,0.005,UNDER,0.0,HIT
nick kurtz,ATH,Hits+Runs+RBIs,1.5,-134,-103,−130,−105,0.004,OVER,5.0,HIT
carson kelly,CHC,Hits+Runs+RBIs,1.5,-108,-125,+100,−135,0.002,UNDER,5.0,MISS
brendan donovan,STL,Hits+Runs+RBIs,2.5,-105,-130,−105,−130,0.001,UNDER,4.0,MISS
SUMMARY: 3/7 - 42.9%,,,,,,,,,,,"HITS: 3, MISSES: 4, PUSHES: 0"
